事故 ID,事故日期，事故地点，机器人品牌，机器人型号，机器人类型，事故类型，伤亡人数，直接经济损失 (元),事故原因，责任方，处理结果，数据来源
RA-2024-001,2024-03-15，江苏苏州工业园区，大疆 DJI,Mavic 3 Pro，工业无人机，坠落事故，0,85000，操作失误导致信号丢失，操作员，赔偿 + 培训，应急管理部
RA-2024-002,2024-05-22，广东深圳南山区，优必选，Walker S1，人形机器人，碰撞事故，1,120000，传感器故障导致路径规划错误，厂商，召回维修，市场监管局
RA-2024-003,2024-06-10，浙江杭州余杭区，宇树科技，Go2，四足机器人，跌落事故，0,15000，楼梯边缘探测失效，厂商/用户共同，软件升级，消费者协会
RA-2024-004,2024-07-08，上海浦东新区，发那科，M-20iA，工业机械臂，夹伤事故，1,280000，安全光幕失效，企业，停工整改 + 赔偿，安监局
RA-2024-005,2024-08-12，北京亦庄开发区，ABB,IRB 6700，工业机械臂，碰撞事故，0,350000，程序逻辑错误，集成商，系统重构，安监局
RA-2024-006,2024-09-05，广东东莞松山湖，库卡，KR 210，工业机械臂，漏电事故，1,180000，电缆老化破损，企业，设备更换 + 赔偿，质监局
RA-2024-007,2024-09-28，江苏无锡高新区，极飞，P150 2025 款，农业无人机，坠毁事故，0,95000，强风天气作业，操作员，保险理赔，农业农村部
RA-2024-008,2024-10-15，四川成都高新区，智元机器人，远征 A2，人形机器人，失控事故，0,250000，电池管理系统故障，厂商，召回检测，工信部
RA-2024-009,2024-11-03，湖北武汉东湖高新区，新松，SR16A，工业 AGV，碰撞事故，1,75000，激光导航受干扰，企业/厂商共同，系统优化，安监局
RA-2024-010,2024-11-20，广东广州黄埔区，大疆 DJI,Agras T40，农业无人机，农药泄漏事故，2,320000，药箱密封失效，厂商，召回 + 赔偿，农业农村部
RA-2024-011,2024-12-08，浙江宁波北仑区，安川，GP25，工业机械臂，火灾事故，0,580000，伺服电机过热，企业，消防整改，消防局
RA-2025-001,2025-01-15，上海张江高科，傅利叶智能，GR-1，人形机器人，跌倒事故，0,180000，平衡算法缺陷，厂商，软件 OTA 升级，工信部
RA-2025-002,2025-02-10，北京中关村，达闼科技，XR-4，云端机器人，网络中断事故，0,95000，5G 信号不稳定，运营商/厂商共同，网络优化，工信部
RA-2025-003,2025-02-28，广东深圳坪山区，大疆 DJI,Matrice 350 RTK，工业无人机，坠海事故，0,420000，抗风等级不足，厂商/用户共同，保险理赔，民航局
RA-2025-004,2025-03-12，江苏常州武进区，节卡，JAKA Zu 7，协作机器人，夹伤事故，1,68000，力控灵敏度设置错误，企业，安全培训，安监局
RA-2025-005,2025-03-25，浙江台州黄岩区，凯乐士科技，Klaus-AGV M1,AGV 机器人，碰撞事故，0,45000，地图定位漂移，厂商，固件升级，市场监管局
RA-2025-006,2025-04-08，安徽合肥高新区，埃斯顿，ER20-1710，工业机械臂，断电事故，0,150000，供电系统故障，企业，UPS 改造，供电局
RA-2025-007,2025-04-22，山东青岛西海岸，海尔，CARL-M1，服务机器人，烫伤事故，1,35000，热水系统温控失效，厂商，召回维修，质监局
RA-2025-008,2025-05-10，重庆两江新区，广数，RB08，工业机械臂，误操作事故，1,220000，未经培训上岗，企业，停工整顿 + 赔偿，安监局
RA-2025-009,2025-05-28，福建厦门火炬高新区，松灵，SCOUT 2.0，移动机器人，翻车事故，0,28000，地形适应算法缺陷，厂商，软件更新，市场监管局
RA-2025-010,2025-06-15，湖南长沙经开区，中联重科，ZASS-10，建筑机器人，高空坠落事故，1,680000，安全绳断裂，企业/厂商共同，全面检测 + 赔偿，住建部
RA-2025-011,2025-07-02，陕西西安高新区，大疆 DJI,Inspire 3，影视无人机，坠机事故，0,185000，图传信号干扰，操作员，保险理赔，民航局
RA-2025-012,2025-07-20，天津滨海新区，新松，SIR6-AR-01，协作机器人，碰撞事故，0,92000，工作区域设置错误，集成商，系统重构，安监局
RA-2025-013,2025-08-05，辽宁沈阳浑南区，新松，AGV-500，AGV 机器人，火灾事故，0,450000，电池热失控，厂商，召回 + 技术改进，消防局
RA-2025-014,2025-08-22，河南郑州经开区，中信重工，CITIC-H1，特种机器人，爆炸事故，2,1200000，防爆等级不足，厂商，停产整顿 + 赔偿，应急管理部
RA-2025-015,2025-09-10，云南昆明高新区，云迹科技，Runner,服务机器人，电梯困人事故，1,15000，电梯联动故障，物业/厂商共同，系统优化，市场监管局
RA-2025-016,2025-09-25，广东佛山顺德区，美的，M-R1，服务机器人，触电事故，1,45000，电源适配器漏电，厂商，召回 + 赔偿，质监局
